x	y
0	398.65174371
1	403.80849859
2	547.33665873
3	654.26194107
4	715.99955228
5	739.91971065
6	788.36213298
7	859.77205211
8	910.75905839
9	686.11786231
10	720.67386658
11	628.70270243
12	625.44794416
13	795.03318828
14	826.0471961
15	839.91454238
16	892.13327454
17	896.64430899
18	842.30207465
19	828.45836162
20	869.80993762
21	1089.32499826
22	972.63902469
23	975.35588344
24	916.4475368
25	955.52441595
26	993.44505937
27	1110.82746715
28	1106.5320794
29	1151.64767512
30	1137.3252964
31	1178.27436793
32	1138.12865808
33	1150.07645761
34	1146.48911756
35	1184.19307905
36	1196.57957068
37	1203.68861159
38	1274.86556424
39	1310.47611843
40	1349.46668759
41	1324.72279819
42	1314.68380478
43	1357.66425134
44	1321.79491092
45	1275.3134437
46	1240.87088601
47	1296.00271898
48	1195.46994309
49	1209.16906202
50	1175.48972538
51	1196.6499787
52	1142.54448522
53	1198.56235701
54	1186.11403258
55	1219.80594362
56	1211.67668932
57	1180.86907343
58	1120.91897325
59	1103.91435506
60	1082.34325891
61	1097.61613163
62	1129.8822179
63	1181.00062689
64	1224.40614404
65	1252.90629253
66	1256.79956677
67	1253.90423953
68	1242.95630456
69	1230.6712405
70	1236.04929566
71	1239.5564986
72	1258.95449796
73	1247.01243545
74	1233.52261967
75	1210.64469066
76	1188.85850691
77	1168.68603905
78	1150.40711732
79	1159.91787107
80	1168.89110845
81	1204.78785891
82	1216.96526176
83	1269.13056573
84	1306.4393658
85	1323.26606691
86	1282.21201323
87	1296.39188479
88	1278.37157571
89	1248.14204611
90	1213.95009074
91	1251.2149845
92	1221.75286506
93	1206.75310831
94	1206.75406655
95	1232.88423498
96	1227.91668106
97	1240.50166944
98	1247.73740722
99	1258.61812468
100	1260.01580485
101	1281.83356672
102	1304.32880549
103	1304.8936088
104	1299.2652445
105	1297.08326507
106	1289.7649341
107	1295.17500192
108	1307.38955366
109	1317.78592873
110	1327.57653051
111	1316.29418873
112	1308.37233683
113	1288.81327242
114	1256.95868386
115	1231.90954186
116	1221.30445821
117	1194.56260633
118	1221.74894207
119	1272.44645575
120	1325.21390182
121	1340.4944312
122	1332.32339592
123	1311.93588114
124	1305.85276476
125	1313.32883817
126	1332.14751386
127	1376.78802186
128	1376.75750621
129	1351.9671593
130	1354.20221097
131	1350.29061814
132	1328.85757653
133	1368.19651431
134	1389.43378481
135	1377.81990763
136	1406.4182321
137	1408.4652982
138	1393.83609702
139	1409.18694078
140	1417.04783545
141	1417.08749227
142	1453.02127996
143	1473.40906261
144	1428.26561006
145	1424.64403125
146	1403.3182812
147	1397.87999497
148	1396.9853577
149	1444.35642514
150	1432.32048983
151	1431.37508117
152	1419.23511635
153	1389.3905572
154	1373.29146137
155	1349.39928997
156	1347.83963329
157	1378.73087946
158	1380.801971
159	1389.88374798
160	1419.33126172
161	1414.41023694
162	1361.30869532
163	1345.10532805
164	1310.8045794
165	1286.83864542
166	1304.148896
167	1307.45144141
168	1320.01527607
169	1347.58787287
170	1337.94511026
171	1322.72957945
172	1336.49597281
173	1345.83574497
174	1340.70644911
175	1359.59393055
176	1376.76981005
177	1398.30712594
178	1396.74858059
179	1410.54738795
180	1467.19019586
181	1486.34030713
182	1519.36733591
183	1591.80929702
184	1603.04495754
185	1591.32892058
186	1583.65239748
187	1609.61313585
188	1549.55475961
189	1551.70917453
190	1529.61986509
191	1524.66419167
192	1467.48351049
193	1482.60700221
194	1477.72714848
195	1488.94975217
196	1486.19430273
197	1493.22397668
198	1496.55306979
199	1512.6468207
200	1517.32889784
201	1545.85073367
202	1567.75845076
203	1576.44924334
204	1580.28446001
205	1589.0733675
206	1589.78582797
207	1591.34784452
208	1591.09470594
209	1596.58580504
210	1587.11620566
211	1583.4423458
212	1584.80020164
213	1598.35509351
214	1607.78492726
215	1610.50861885
216	1602.16979777
217	1607.45082719
218	1594.29766216
219	1564.03536126
220	1595.39659197
221	1587.81709236
222	1589.71918236
223	1619.59698699
224	1668.74169277
225	1646.24342109
226	1681.81766733
227	1665.44822983
228	1626.44612043
229	1592.32544503
230	1595.90123626
231	1561.8444693
232	1566.60438261
233	1586.9700783
234	1597.38390189
235	1592.59735147
236	1611.25617416
237	1601.44964617
238	1590.50092773
239	1555.80861845
240	1560.57639547
241	1574.77982921
242	1578.27490454
243	1554.49197208
244	1586.06751995
245	1592.69136929
246	1578.34308147
247	1603.33678441
248	1659.15888662
249	1683.71587596
250	1689.27851057
251	1723.27462155
252	1738.70793916
253	1753.2294257
254	1749.88827112
255	1761.15663455
256	1755.52459011
257	1775.30736899
258	1789.99449201
259	1799.75481915
260	1814.28688117
261	1827.18361492
262	1789.21326938
263	1804.62159216
264	1837.16850969
265	1885.43244036
266	1921.16647945
267	1963.79702311
268	1951.54677061
269	1911.83079921
270	1888.39747431
271	1876.75838154
272	1881.2105408
273	1884.09230771
274	1949.52570521
275	1951.17222229
276	1944.10648397
277	1948.06210081
278	1961.88956566
279	1991.5309186
280	2002.24249008
281	2025.24297323
282	2036.80534306
283	2059.79235834
284	2027.71900196
285	2031.20846271
286	2047.3868836
287	2116.83379922
288	2163.54901209
289	2238.27055865
290	2299.3846924
291	2341.19289829
292	2366.38407776
293	2383.96426973
294	2393.49513159
295	2451.5629516
