x	y
240	2.0799794
244	2.02455244
248	1.98257914
252	1.94893124
256	1.92092827
260	1.89699643
264	1.87613465
268	1.85766763
272	1.84111883
276	1.82613971
280	1.8124679
284	1.79990105
288	1.78827993
292	1.77747702
296	1.76738871
300	1.75792964
304	1.74902872
308	1.74062613
312	1.73267105
316	1.72511997
320	1.71793535
324	1.7110846
328	1.70453922
332	1.69827418
336	1.69226735
340	1.6864991
344	1.68095193
348	1.67561016
352	1.67045971
356	1.66548789
360	1.66068319
364	1.65603518
368	1.65153437
372	1.64717207
376	1.64294036
380	1.63883195
384	1.63484015
388	1.63095876
392	1.62901996
396	1.62710391
400	1.62823140
