x	y
0	4.00822397
4	3.65140925
8	3.39666635
12	3.20177634
16	3.0457494
20	2.91675212
24	2.80751103
28	2.71326304
32	2.63073389
36	2.55758457
40	2.4920912
44	2.43294997
48	2.37915304
52	2.32990672
56	2.2845758
60	2.24264474
64	2.2036899
68	2.16735928
72	2.13335759
76	2.10143485
80	2.07137777
84	2.04300304
88	2.01615208
92	1.99068683
96	1.96648647
100	1.94344471
104	1.92146757
108	1.90047163
112	1.88038249
116	1.86113358
120	1.8426651
124	1.82492316
128	1.80785904
132	1.79142856
136	1.77559154
140	1.76031136
144	1.74555454
148	1.7312904
152	1.71749079
156	1.70412979
160	1.69118351
164	1.67862985
168	1.6664484
172	1.6546202
176	1.64312767
180	1.63195442
184	1.62108521
188	1.61050582
192	1.60020294
196	1.59016413
200	1.58037775
204	1.57083285
208	1.56151916
212	1.55242705
216	1.5435474
220	1.53487167
224	1.52639177
228	1.51810008
232	1.50998937
236	1.50205284
240	1.49428401
244	1.48667677
248	1.47922531
252	1.47192412
256	1.46476795
260	1.45775183
264	1.45087101
268	1.44412098
272	1.43749744
276	1.43099628
280	1.4246136
284	1.41834564
288	1.41218885
292	1.40613981
296	1.40019524
300	1.39435203
304	1.38860718
308	1.38295782
312	1.37740119
316	1.37193466
320	1.3665557
324	1.36126187
328	1.35605084
332	1.35092035
336	1.34586826
340	1.34089247
344	1.335991
348	1.33116191
352	1.32640335
356	1.32171352
360	1.31709072
364	1.31253327
368	1.30803956
372	1.30360806
376	1.29923726
380	1.29492572
384	1.29067204
388	1.28647488
392	1.29048229
396	1.28502930
400	1.27499284
